##########  Exécution du 04/11/2021 15:43:56  ##########
Fonction = init_app | Temps d'éxécution = 0.3009462356567383
##########  Exécution du 04/11/2021 15:48:05  ##########
Fonction = init_app | Temps d'éxécution = 0.2668170928955078
##########  Exécution du 04/11/2021 15:48:29  ##########
Fonction = init_app | Temps d'éxécution = 0.282926082611084
##########  Exécution du 04/11/2021 15:48:41  ##########
Fonction = init_app | Temps d'éxécution = 0.001157999038696289
Fonction = init_df | Temps d'éxécution = 219.33336091041565
##########  Exécution du 04/11/2021 15:52:24  ##########
##########  Exécution du 04/11/2021 15:52:25  ##########
Fonction = init_app | Temps d'éxécution = 0.001811981201171875
##########  Exécution du 04/11/2021 15:52:29  ##########
Fonction = init_app | Temps d'éxécution = 0.00150299072265625
Fonction = init_df | Temps d'éxécution = 177.20353603363037
Fonction = init_df | Temps d'éxécution = 177.73494005203247
Fonction = missing_rate | Temps d'éxécution = 2.8230881690979004
Fonction = cleaning | Temps d'éxécution = 3.615077018737793
Fonction = pre_processing | Temps d'éxécution = 1.616170883178711
Fonction = processing | Temps d'éxécution = 8.483283042907715
Fonction = init_data | Temps d'éxécution = 199.74486804008484
Fonction = init_sidebar | Temps d'éxécution = 0.004687786102294922
Fonction = process_commune | Temps d'éxécution = 0.27621006965637207
Fonction = process_departement | Temps d'éxécution = 0.19451117515563965
Fonction = process_commune_square | Temps d'éxécution = 0.28039979934692383
Fonction = process_local_region | Temps d'éxécution = 0.34255313873291016
Fonction = init_charts | Temps d'éxécution = 4.542832851409912
Fonction = process_commune_square | Temps d'éxécution = 0.13138389587402344
Fonction = process_departement_square | Temps d'éxécution = 0.2530090808868408
Fonction = process_square | Temps d'éxécution = 0.28882694244384766
Fonction = init_square | Temps d'éxécution = 5.853285789489746
Fonction = init_map | Temps d'éxécution = 5.507123947143555
##########  Exécution du 04/11/2021 16:06:21  ##########
Fonction = init_app | Temps d'éxécution = 0.31734704971313477
##########  Exécution du 04/11/2021 16:06:23  ##########
Fonction = init_app | Temps d'éxécution = 0.0007839202880859375
##########  Exécution du 04/11/2021 16:07:42  ##########
Fonction = init_app | Temps d'éxécution = 0.30035877227783203
Fonction = init_df | Temps d'éxécution = 89.40951895713806
Fonction = missing_rate | Temps d'éxécution = 2.0953128337860107
Fonction = cleaning | Temps d'éxécution = 3.327697277069092
Fonction = pre_processing | Temps d'éxécution = 1.5577459335327148
Fonction = processing | Temps d'éxécution = 7.9166998863220215
Fonction = init_data | Temps d'éxécution = 105.0417799949646
Fonction = init_sidebar | Temps d'éxécution = 0.0049779415130615234
Fonction = process_commune | Temps d'éxécution = 0.26676368713378906
Fonction = process_departement | Temps d'éxécution = 0.18720483779907227
Fonction = process_commune_square | Temps d'éxécution = 0.26952099800109863
Fonction = process_local_region | Temps d'éxécution = 0.21188116073608398
Fonction = init_charts | Temps d'éxécution = 3.811704158782959
Fonction = process_commune_square | Temps d'éxécution = 0.08808302879333496
Fonction = process_departement_square | Temps d'éxécution = 0.16849088668823242
Fonction = process_square | Temps d'éxécution = 0.19788599014282227
Fonction = init_square | Temps d'éxécution = 4.60923433303833
Fonction = init_map | Temps d'éxécution = 4.958597898483276
##########  Exécution du 04/11/2021 16:13:29  ##########
Fonction = init_app | Temps d'éxécution = 0.000762939453125
Fonction = pre_processing | Temps d'éxécution = 0.12567806243896484
Fonction = processing | Temps d'éxécution = 8.137582063674927
Fonction = process_commune | Temps d'éxécution = 0.10645174980163574
Fonction = process_departement | Temps d'éxécution = 0.0929572582244873
Fonction = process_commune_square | Temps d'éxécution = 0.1179189682006836
Fonction = process_departement_square | Temps d'éxécution = 0.16548514366149902
Fonction = init_data | Temps d'éxécution = 10.283528327941895
Fonction = init_sidebar | Temps d'éxécution = 0.008501052856445312
Fonction = process_commune | Temps d'éxécution = 0.11927103996276855
Fonction = process_departement | Temps d'éxécution = 0.08249998092651367
Fonction = process_commune_square | Temps d'éxécution = 0.09041786193847656
Fonction = process_local_region | Temps d'éxécution = 0.08170008659362793
Fonction = init_charts | Temps d'éxécution = 3.4336352348327637
Fonction = process_commune_square | Temps d'éxécution = 0.10148215293884277
Fonction = process_departement_square | Temps d'éxécution = 0.0926201343536377
Fonction = process_square | Temps d'éxécution = 0.08021187782287598
##########  Exécution du 04/11/2021 16:13:48  ##########
Fonction = init_app | Temps d'éxécution = 0.0008349418640136719
Fonction = processing | Temps d'éxécution = 0.19228410720825195
Fonction = init_data | Temps d'éxécution = 0.7249889373779297
Fonction = init_sidebar | Temps d'éxécution = 0.004479885101318359
Fonction = process_commune | Temps d'éxécution = 0.12459778785705566
Fonction = process_departement | Temps d'éxécution = 0.10038495063781738
Fonction = process_commune_square | Temps d'éxécution = 0.1275949478149414
Fonction = process_local_region | Temps d'éxécution = 0.08167386054992676
##########  Exécution du 04/11/2021 16:13:52  ##########
Fonction = init_app | Temps d'éxécution = 0.0006761550903320312
Fonction = missing_rate | Temps d'éxécution = 2.5365071296691895
Fonction = cleaning | Temps d'éxécution = 4.880223989486694
Fonction = pre_processing | Temps d'éxécution = 2.1010308265686035
Fonction = processing | Temps d'éxécution = 10.729193210601807
Fonction = init_data | Temps d'éxécution = 21.563836812973022
Fonction = init_sidebar | Temps d'éxécution = 0.004366874694824219
Fonction = process_commune | Temps d'éxécution = 0.2624080181121826
Fonction = process_departement | Temps d'éxécution = 0.17926812171936035
Fonction = process_commune_square | Temps d'éxécution = 0.28093695640563965
Fonction = process_local_region | Temps d'éxécution = 0.25196003913879395
Fonction = init_charts | Temps d'éxécution = 3.7133071422576904
Fonction = process_commune_square | Temps d'éxécution = 0.09863495826721191
Fonction = process_departement_square | Temps d'éxécution = 0.18140006065368652
Fonction = process_square | Temps d'éxécution = 0.27765393257141113
Fonction = init_square | Temps d'éxécution = 5.3255627155303955
Fonction = init_map | Temps d'éxécution = 6.153780937194824
##########  Exécution du 04/11/2021 18:16:56  ##########
Fonction = init_app | Temps d'éxécution = 0.436107873916626
Fonction = init_df | Temps d'éxécution = 94.63251304626465
Fonction = missing_rate | Temps d'éxécution = 2.6062934398651123
Fonction = cleaning | Temps d'éxécution = 3.478900909423828
Fonction = pre_processing | Temps d'éxécution = 1.6297869682312012
Fonction = processing | Temps d'éxécution = 8.242176055908203
Fonction = init_data | Temps d'éxécution = 111.94064211845398
Fonction = init_sidebar | Temps d'éxécution = 0.00518488883972168
Fonction = process_commune | Temps d'éxécution = 0.2774641513824463
Fonction = process_departement | Temps d'éxécution = 0.1703951358795166
Fonction = process_commune_square | Temps d'éxécution = 0.2313089370727539
Fonction = process_local_region | Temps d'éxécution = 0.2413330078125
Fonction = init_charts | Temps d'éxécution = 4.2206809520721436
Fonction = process_commune_square | Temps d'éxécution = 0.09691619873046875
Fonction = process_departement_square | Temps d'éxécution = 0.17987823486328125
Fonction = process_square | Temps d'éxécution = 0.21299314498901367
Fonction = init_square | Temps d'éxécution = 5.34604811668396
Fonction = init_map | Temps d'éxécution = 5.663136959075928
##########  Exécution du 04/11/2021 18:23:30  ##########
Fonction = init_app | Temps d'éxécution = 0.6085460186004639
##########  Exécution du 04/11/2021 18:23:31  ##########
Fonction = init_app | Temps d'éxécution = 0.002374887466430664
Fonction = init_df | Temps d'éxécution = 152.0409390926361
Fonction = init_df | Temps d'éxécution = 153.29972386360168
Fonction = missing_rate | Temps d'éxécution = 2.466840982437134
Fonction = cleaning | Temps d'éxécution = 3.692556858062744
Fonction = pre_processing | Temps d'éxécution = 1.6119961738586426
Fonction = processing | Temps d'éxécution = 8.213996171951294
Fonction = init_data | Temps d'éxécution = 170.63073921203613
Fonction = init_sidebar | Temps d'éxécution = 0.005789995193481445
Fonction = process_commune | Temps d'éxécution = 0.290255069732666
Fonction = process_departement | Temps d'éxécution = 0.19552087783813477
Fonction = process_commune_square | Temps d'éxécution = 0.2807140350341797
Fonction = process_local_region | Temps d'éxécution = 0.26676106452941895
Fonction = init_charts | Temps d'éxécution = 4.014642953872681
Fonction = process_commune_square | Temps d'éxécution = 0.1034398078918457
Fonction = process_departement_square | Temps d'éxécution = 0.21605873107910156
Fonction = process_square | Temps d'éxécution = 0.2340869903564453
Fonction = init_square | Temps d'éxécution = 5.407093048095703
Fonction = init_map | Temps d'éxécution = 5.833508014678955
##########  Exécution du 04/11/2021 18:26:44  ##########
Fonction = init_app | Temps d'éxécution = 0.002516031265258789
Fonction = pre_processing | Temps d'éxécution = 0.1086740493774414
Fonction = processing | Temps d'éxécution = 11.863022089004517
Fonction = init_data | Temps d'éxécution = 14.722512245178223
Fonction = init_sidebar | Temps d'éxécution = 0.004593849182128906
Fonction = process_commune | Temps d'éxécution = 0.11650776863098145
Fonction = process_departement | Temps d'éxécution = 0.10353684425354004
Fonction = process_commune_square | Temps d'éxécution = 0.10718989372253418
Fonction = process_local_region | Temps d'éxécution = 0.09443783760070801
Fonction = init_charts | Temps d'éxécution = 3.81748104095459
Fonction = process_commune_square | Temps d'éxécution = 0.0997779369354248
Fonction = process_departement_square | Temps d'éxécution = 0.08840298652648926
Fonction = process_square | Temps d'éxécution = 0.08645486831665039
Fonction = init_square | Temps d'éxécution = 5.012022018432617
Fonction = init_map | Temps d'éxécution = 5.581838130950928
##########  Exécution du 04/11/2021 18:27:21  ##########
Fonction = init_app | Temps d'éxécution = 0.0008149147033691406
Fonction = missing_rate | Temps d'éxécution = 3.057197093963623
Fonction = cleaning | Temps d'éxécution = 4.669778108596802
Fonction = pre_processing | Temps d'éxécution = 2.8028550148010254
Fonction = processing | Temps d'éxécution = 12.415605068206787
Fonction = init_data | Temps d'éxécution = 25.32850408554077
Fonction = init_sidebar | Temps d'éxécution = 0.009773969650268555
Fonction = process_commune | Temps d'éxécution = 0.6103389263153076
Fonction = process_departement | Temps d'éxécution = 0.5448057651519775
Fonction = process_commune_square | Temps d'éxécution = 0.5795180797576904
Fonction = process_local_region | Temps d'éxécution = 0.2897622585296631
Fonction = init_charts | Temps d'éxécution = 6.499236106872559
Fonction = process_commune_square | Temps d'éxécution = 0.1270458698272705
Fonction = process_departement_square | Temps d'éxécution = 0.21076726913452148
Fonction = process_square | Temps d'éxécution = 0.3098177909851074
Fonction = init_square | Temps d'éxécution = 5.9119110107421875
##########  Exécution du 04/11/2021 18:28:05  ##########
Fonction = init_app | Temps d'éxécution = 0.0007491111755371094
Fonction = pre_processing | Temps d'éxécution = 0.10952091217041016
Fonction = processing | Temps d'éxécution = 9.304686069488525
Fonction = init_data | Temps d'éxécution = 9.995565176010132
Fonction = init_sidebar | Temps d'éxécution = 0.06473278999328613
Fonction = process_commune | Temps d'éxécution = 0.10097694396972656
Fonction = process_departement | Temps d'éxécution = 0.06687211990356445
Fonction = process_commune_square | Temps d'éxécution = 0.10402107238769531
Fonction = process_month | Temps d'éxécution = 0.05594301223754883
Fonction = process_local_region | Temps d'éxécution = 0.08081793785095215
Fonction = init_charts | Temps d'éxécution = 3.364832878112793
Fonction = process_commune_square | Temps d'éxécution = 0.06426596641540527
Fonction = process_departement_square | Temps d'éxécution = 0.06723928451538086
Fonction = process_square | Temps d'éxécution = 0.08665704727172852
Fonction = init_square | Temps d'éxécution = 3.0669760704040527
Fonction = init_map | Temps d'éxécution = 1.4033479690551758
##########  Exécution du 04/11/2021 18:28:33  ##########
Fonction = init_app | Temps d'éxécution = 0.0010018348693847656
Fonction = processing | Temps d'éxécution = 0.1944141387939453
Fonction = init_data | Temps d'éxécution = 0.844001054763794
Fonction = init_sidebar | Temps d'éxécution = 0.05091118812561035
Fonction = process_commune | Temps d'éxécution = 0.23343992233276367
Fonction = process_departement | Temps d'éxécution = 0.19818902015686035
Fonction = process_commune_square | Temps d'éxécution = 0.21286892890930176
Fonction = process_month | Temps d'éxécution = 0.16380906105041504
Fonction = process_local_region | Temps d'éxécution = 0.1736738681793213
